Count,Site_Visit_ID,Project_Name,Entity_Type,Planned_Field_Work_or_Quarter,MA_Activity,Province_Name_[Auto-Filled],District_Name_[Auto-Filled],Province_verification_based_on_district,Entity.Type,Date.of.Sampling.Confirmation,Planned.Field.Work.Period.(Category).-.Duplicate,Date.of.SV.Infrastructure.Monitoring,Status.of.SV.Infrastructure.Monitoring,Date.of.SV.Soft.Component.Monitoring,Status.of.SV.Soft.Component.Monitoring,Status.of.Physical.and.Social.SV,Type.of.reporting
1574,KNCPM45139PM1,KNC,Government Agency,8/1/2023,Site Visit,Nangarhar,Behsud,Nangarhar,Tower,7/30/2023,8/1/2023,,Completed,,Not applicable,Completed,Ad Hoc
1496,KNCPM45139PM2,KNC,Government Agency,8/1/2023,Site Visit,Kapisa,Tagab,Kapisa,Tower,7/31/2023,8/2/2023,,Completed,,Not applicable,Completed,Ad Hoc
1480,KNCPM45139PM3,KNC,Government Agency,8/1/2023,Site Visit,Kapisa,Koh Band,Kapisa,Tower,8/1/2023,8/3/2023,,Completed,,Not applicable,Completed,Ad Hoc
1608,KNCPM45140PM4,KNC,Government Agency,8/2/2023,Site Visit,Nangarhar,Lalpur,Nangarhar,Tower,8/2/2023,8/4/2023,,Completed,,Not applicable,Completed,Ad Hoc
1514,KNCPM45141PM5,KNC,Government Agency,8/3/2023,Site Visit,Kapisa,Tagab,Kapisa,Tower,8/3/2023,8/5/2023,,Completed,,Not applicable,Completed,Ad Hoc
1284,KNCPM45142PM6,KNC,Government Agency,8/4/2023,Site Visit,Kunduz,Imam Sahib,Kunduz,Tower,8/4/2023,8/6/2023,,Completed,,Not applicable,Completed,Ad Hoc
1320,KNCPM45143PM7,KNC,Government Agency,8/5/2023,Site Visit,Kunduz,Khan Abad,Kunduz,Tower,8/5/2023,8/7/2023,,Completed,,Not applicable,Completed,Ad Hoc
1516,KNCPM45144PM8,KNC,Government Agency,8/6/2023,Site Visit,Kapisa,Tagab,Kapisa,Tower,8/6/2023,8/8/2023,,Completed,,Not applicable,Completed,Ad Hoc
1257,KNCPM45145PM9,KNC,Government Agency,8/7/2023,Site Visit,Kunduz,Imam Sahib,Kunduz,Tower,8/7/2023,8/9/2023,,Completed,,Not applicable,Completed,Ad Hoc
1258,KNCPM45146PM10,KNC,Government Agency,8/8/2023,Site Visit,Kunduz,Imam Sahib,Kunduz,Tower,8/8/2023,8/10/2023,,Completed,,Not applicable,Completed,Ad Hoc
1593,KNCPM45147PM11,KNC,Government Agency,8/9/2023,Site Visit,Nangarhar,Kama,Nangarhar,Tower,8/9/2023,8/11/2023,,Completed,,Not applicable,Completed,Ad Hoc
1388,KNCPM45148PM12,KNC,Government Agency,9/10/2023,Site Visit,Baghlan,Burka,Baghlan,Tower,8/10/2023,8/12/2023,,Completed,,Not applicable,Completed,Ad Hoc
1309,KNCPM45149PM13,KNC,Government Agency,9/10/2023,Site Visit,Kunduz,Khan Abad,Kunduz,Tower,8/11/2023,8/13/2023,,Completed,,Not applicable,Completed,Ad Hoc
1446,KNCPM45150PM14,KNC,Government Agency,9/10/2023,Site Visit,Baghlan,Pul-e-Hisar,Baghlan,Tower,8/12/2023,8/14/2023,,Completed,,Not applicable,Completed,Ad Hoc
1489,KNCPM45151PM15,KNC,Government Agency,9/10/2023,Site Visit,Kapisa,Nijrab,Kapisa,Tower,8/13/2023,8/15/2023,,Completed,,Not applicable,Completed,Ad Hoc
1413,KNCPM45152PM16,KNC,Government Agency,9/10/2023,Site Visit,Baghlan,Nahrin,Baghlan,Tower,8/14/2023,8/16/2023,,Completed,,Not applicable,Completed,Ad Hoc
1624,KNCPM45153PM17,KNC,Government Agency,9/10/2023,Site Visit,Nangarhar,Muhmand Dara,Nangarhar,Tower,8/15/2023,8/17/2023,,Completed,,Not applicable,Completed,Ad Hoc
1248,KNCPM45154PM18,KNC,Government Agency,9/10/2023,Site Visit,Kunduz,Imam Sahib,Kunduz,Tower,8/16/2023,8/18/2023,,Completed,,Not applicable,Completed,Ad Hoc
1493,KNCPM45155PM19,KNC,Government Agency,9/10/2023,Site Visit,Kapisa,Tagab,Kapisa,Tower,8/17/2023,8/19/2023,,Completed,,Not applicable,Completed,Ad Hoc
1398,KNCPM45156PM20,KNC,Government Agency,9/10/2023,Site Visit,Baghlan,Burka,Baghlan,Tower,8/18/2023,8/20/2023,,Completed,,Not applicable,Completed,Ad Hoc
1426,KNCPM45157PM21,KNC,Government Agency,9/10/2023,Site Visit,Baghlan,Khwaja Hejran,Baghlan,Tower,8/19/2023,8/21/2023,,Completed,,Not applicable,Completed,Ad Hoc
